"","parcela","site","produt","log_produt","fdis","fric","fdiv","cwm_wd","cwm_sla","cwm_ldmc","fdis_wd","fric_wd","fdis_sla","fric_sla","fdis_ldmc","fric_ldmc","SR","SESPD","SESMPD","SESMNTD","PSV","PSR","PSE","PSEab","PSC","dcF","dcP","raoq","RaoQ_WD","RaoQ_SLA","RaoQ_LDMC","n_trees","log_biomass"
"1","REGUA_PV1","REGUA",46389.9821282811,4.66642420520705,1.31988613289021,4.34044793707953,0.715125157409201,0.518440356111111,126.850179727778,0.381064859222222,0.45504690821437,2.18609675563533,0.878914486655842,3.43063485807244,0.629338778517468,2.28201305124224,12,-2.66457922471659,-2.383047926843,-2.5083291238782,0.723320870507979,8.67985044609575,0.737723808095719,0.733270185837594,0.308299460078021,0.655753478803714,-2.14094368523202,0.26063747291868,0.192578579962418,0.337963148030316,0.251370690763306,18,5.446521446
"2","REGUA_PV2","REGUA",68491.7402758733,4.83563820114357,1.51178409496883,4.81607675305883,0.877964843515667,0.414038863833333,100.316729580833,0.386202273,0.922742582894966,3.4293446869703,0.331010066667508,1.91552736544948,0.862127171229671,2.98498168254274,13,-1.84538418565102,-1.1291725215045,-1.67546660391491,0.772805794170821,10.0464753242207,0.636040535671899,0.77293891411974,0.380258603217981,-1.41404767806626,-1.63253054984008,0.285297812288125,0.365441906811204,0.142101655978356,0.348349874074814,21,5.836151071
"3","REGUA_PV3","REGUA",36134.9126812447,4.55792700959783,0.932855736048749,0.90177710774403,0.721421776982105,0.461122927222222,117.79259002,0.349091545222222,0.584126613943937,2.24580759243349,0.419299370686117,1.32549898428141,0.436177633086363,1.38012256724083,10,-0.666223488324993,-0.156894274336234,-1.09048284955319,0.804068019302328,8.04068019302328,0.740915129102464,0.787671092683966,0.453519110989228,-0.0508026954241197,-0.973085281989005,0.180866431771143,0.214294991237139,0.150518808363867,0.177785495712423,13,5.196697421
"4","REGUA_PV4","REGUA",86187.0935729644,4.93544223554969,1.38697662279469,4.95595854612595,0.867102589407859,0.4462850695,145.29157650375,0.3256822713125,0.689379688757081,2.30707953920431,0.938898053344773,2.67778453722867,0.606015353424127,2.07264042352173,10,-0.214839478161518,0.253837328058547,0.0586445487006279,0.826932054008732,8.26932054008732,0.614488762325646,0.776263325796261,0.554083945926308,2.09431602180228,2.200200951234,0.270614812537284,0.232942543223677,0.316352437164117,0.262549457224058,18,6.065958352
"5","REGUA_PV5","REGUA",84912.3283695079,4.92897074977454,0.991506131211405,0.776942259503621,0.683372698715142,0.52974398725,114.440789075,0.375850122125,0.690088385483257,2.24580759243349,0.4147573722517,1.32549898428141,0.398476967382133,1.05655539233255,7,-1.29798884010489,-1.25738255565849,-0.777140850126251,0.7384932938026,5.1694530566182,0.718355986187547,0.70572615495594,0.510188280594235,-0.312267328921538,0.156553442767614,0.188186865328094,0.270773250643105,0.146836874190579,0.146950471150598,18,6.051057206
"6","REGUA1","REGUA",99803.6774453325,4.99914654394059,1.06173566222224,4.08619332790009,0.800833445769722,0.441464102928571,107.662177975714,0.341913827285714,0.477303092396106,2.58891244973525,0.392765507994604,2.25983216329233,0.74686802979042,2.79547000951496,17,-0.0253701840679751,-0.347848354570821,0.621085848642583,0.802857263360664,13.6485734771313,0.590781940187981,0.800679776291139,0.510619306366859,-0.841047314597925,-3.68359795944678,0.212718231793845,0.187971744318341,0.174869048035426,0.275313903027769,23,5.989499392
"7","REGUA2","REGUA",55759.7669717838,4.74632095011363,1.15148361385115,2.3489881854937,0.825536498195546,0.378337652444444,113.794434668889,0.309238479333333,0.821605539397489,2.10232369060737,0.571358588089363,1.87939644761978,0.423445166642941,1.6050839745341,11,0.719284011643178,0.797042118994978,0.556140055712868,0.846616175720544,9.31277793292599,0.712766588983032,0.834133346482747,0.581724773575189,-0.362686823782297,5.43742634759933,0.221866986618156,0.281959954797769,0.216049767679058,0.167591237377641,17,5.407346948
"8","REGUA3","REGUA",73538.9574308288,4.86651746854008,1.55644489554006,5.46006747370619,0.739646079902921,0.383029061111111,96.7834551711111,0.368279622111111,0.906751180195313,2.86185928310013,0.478367162441572,2.01088174817344,1.09794454603958,3.15323163768973,14,0.197729999979992,-0.0660714446098359,0.510289242794332,0.811875333992376,11.3662546758933,0.67843457874554,0.825088268864768,0.532655497436325,-1.68966798626762,-0.470907039051221,0.300889562045878,0.321647247931618,0.182512863027318,0.398508575178699,17,5.68410966
"9","REGUA4","REGUA",59126.0756906974,4.77177905501072,1.45207493941172,5.35793989386761,0.737408058811559,0.469558443888889,109.135943321111,0.381693789666667,0.715276916231301,2.86185928310013,0.601818321342397,3.26781291839674,0.886395929074785,2.54223881399442,12,-0.0454080013662692,0.422247188643064,-0.313246180217855,0.831470127318596,9.97764152782316,0.629925125386968,0.827162035958459,0.500392982438454,-0.726084652877878,-2.97809238940962,0.289476958521196,0.279346896908713,0.258539497104407,0.330544481550468,16,5.465966401
"10","REGUA5","REGUA",47772.0685555195,4.6791740468684,1.00633779290135,1.1381272776855,0.784272556409504,0.419874880769231,113.850431695385,0.353170479846154,0.704185152889562,2.08739598140783,0.363515906993427,1.70461888313796,0.444823119662746,1.49753863623129,9,-0.536042567929111,0.0991152092886151,-0.733697417837545,0.817983081888876,7.36184773699988,0.777620694672301,0.785472308146934,0.484450094802979,-0.358320214164688,6.01639075155311,0.197087642403976,0.255613071485545,0.143449094804977,0.192200760921405,16,5.25273549
"11","REGUA6","REGUA",52904.2467919591,4.72349053563226,1.57706501527492,4.49674220098089,0.809136788844478,0.450070158307692,112.207102216154,0.331457722153846,1.21114323424418,3.17132556280496,0.471814911008839,1.63044603250089,0.833309320960809,2.10853145992659,12,0.629843119995831,0.594068421311887,0.426170444210499,0.835824584906137,10.0298950188736,0.678723947507105,0.77478516879127,0.557551155043197,-0.486509992449169,0.417658258562064,0.301108121025199,0.424459667127077,0.173273265348614,0.305591430599905,19,5.354777976
"12","REGUA7","REGUA",59254.6924347844,4.77272274823218,0.902235511484253,2.73035646484676,0.579882114367789,0.491388597684211,108.648018659474,0.327616673578947,0.57009891043579,3.15639785360542,0.217292402556133,0.865579417174372,0.591377784098807,1.94028150477961,7,1.09915148530367,0.754541776772907,1.42664399930477,0.855997205069986,5.9919804354899,0.7582863778814,0.794393085773639,0.767538198069463,-0.76414303786318,-0.492875961372368,0.186984426369643,0.249699512115939,0.0839741828451996,0.227279584147791,21,5.468139335
"13","REGUA8","REGUA",45311.393743661,4.65620742094926,0.37926023543141,0.0971180704271969,0.864424496485183,0.449668611,107.916186524286,0.289286196714286,0.344738266435144,0.957759754754752,0.100667045884896,0.331959845681905,0.111313114327116,0.513456958272712,7,1.54632260200702,0.965091405503857,1.66551151053493,0.868634155342859,6.08043908740001,0.448375995413615,0.813737548899759,0.789532131475127,-0.82122992018081,-4.15849803582824,0.0581571170751681,0.103219453054378,0.0313739013545733,0.0398779968165526,16,5.19985288
