plot,site,produt,log_produt,fdis2,fric2,fdiv2,fdis,fric,fdiv,cwm_wd,cwm_sla,cwm_ldmc,cwm_leafc,cwm_leafn,cwm_leafp,cwm_leafcn,fdis_wd,fric_wd,fdis_sla,fric_sla,fdis_ldmc,fric_ldmc,fdis_leafc,fric_leafc,fdis_leafn,fric_leafn,fdis_leafp,fric_leafp,SR,SESPD,SESMPD,SESMNTD,PSV,PSR,PSE,PSEab,PSC,dcF,dcP,raoq,RaoQ_WD,RaoQ_SLA,RaoQ_LDMC,n_trees,log_biomass,PC1,PC2,richness,MPD_func,Rao_func,Simpson,Rao_phylo,Rao_WD,Rao_SLA,Rao_LDMC
REGUA_PV1,REGUA,46389.98213,4.666424205,1.942681708,3.708262555,0.633333711,1.319886133,4.340447937,0.715125157,0.518440356,126.8501797,0.381064859,45.67538222,1.925382222,1.209777778,39.14621894,0.455046908,2.186096756,0.878914487,3.430634858,0.629338779,2.282013051,0.639177737,2.027954511,0.722591403,3.594019896,0.525372427,1.475290313,12,-2.664579225,-2.383047927,-2.508329124,0.723320871,8.679850446,0.737723808,0.733270186,0.30829946,0.655753479,-2.140943685,0.260637473,0.19257858,0.337963148,0.251370691,18,5.446521446,-0.132584896,-2.975798431,6,0.4989724,0.406570104,0.814814815,0.744057026,0.210687825,0.299945102,0.209601399
REGUA_PV2,REGUA,68491.74028,4.835638201,2.29962629,7.220380735,0.777522956,1.511784095,4.816076753,0.877964844,0.414038864,100.3167296,0.386202273,45.79415208,2.350080139,1.295416667,36.16102419,0.922742583,3.429344687,0.331010067,1.915527365,0.862127171,2.984981683,1.103418218,3.865932668,0.937350221,3.204954145,0.323782924,1.69240851,13,-1.845384186,-1.129172522,-1.675466604,0.772805794,10.04647532,0.636040536,0.772938914,0.380258603,-1.414047678,-1.63253055,0.285297812,0.365441907,0.142101656,0.348349874,21,5.836151071,-0.129636087,0.007901511,8,0.520720351,0.441165853,0.847222222,0.702530537,0.366703754,0.185947668,0.321321448
REGUA_PV3,REGUA,36134.91268,4.55792701,1.971784513,5.129692207,0.829384668,0.932855736,0.901777108,0.721421777,0.461122927,117.79259,0.349091545,45.51304222,2.244057778,1.242777778,37.90028231,0.584126614,2.245807592,0.419299371,1.325498984,0.436177633,1.380122567,0.911998611,2.695097218,1.223406348,3.594019896,0.487639635,1.69240851,10,-0.666223488,-0.156894274,-1.09048285,0.804068019,8.040680193,0.740915129,0.787671093,0.453519111,-0.050802695,-0.973085282,0.180866432,0.214294991,0.150518808,0.177785496,13,5.196697421,0.408161501,-1.269377549,6,0.340514407,0.26904842,0.790123457,0.743992624,0.227070738,0.160400031,0.149001101
REGUA_PV4,REGUA,86187.09357,4.935442236,2.139795534,10.00532018,0.718486471,1.386976623,4.955958546,0.867102589,0.44628507,145.2915765,0.325682271,46.059125,2.66076625,1.5731875,31.99219246,0.689379689,2.307079539,0.938898053,2.677784537,0.606015353,2.072640424,0.327033106,2.695097218,0.878155976,3.594019896,1.020894807,3.562965284,10,-0.214839478,0.253837328,0.058644549,0.826932054,8.26932054,0.614488762,0.776263326,0.554083946,2.094316022,2.200200951,0.270614813,0.232942543,0.316352437,0.262549457,18,6.065958352,2.225827786,-0.057343017,8,0.50379677,0.405398963,0.8046875,0.747433627,0.280007304,0.2679623,0.257052614
REGUA_PV5,REGUA,84912.32837,4.92897075,1.937626717,3.105840407,0.923516099,0.991506131,0.77694226,0.683372699,0.529743987,114.4407891,0.375850122,46.83258625,2.60648375,1.208375,40.04663211,0.690088385,2.245807592,0.414757372,1.325498984,0.398476967,1.056555392,0.399822794,1.273426067,1.283115894,3.594019896,0.521440317,1.69240851,7,-1.29798884,-1.257382556,-0.77714085,0.738493294,5.169453057,0.718355986,0.705726155,0.510188281,-0.312267329,0.156553443,0.188186865,0.270773251,0.146836874,0.146950471,18,6.051057206,-1.670348916,-1.625729377,5,0.3740898,0.286412503,0.765625,0.662401789,0.318529898,0.175924425,0.155687732
REGUA1,REGUA,99803.67745,4.999146544,1.843346935,6.47631155,0.708913991,1.061735662,4.086193328,0.800833446,0.441464103,107.662178,0.341913827,45.82486179,2.250258214,1.422642857,33.13243681,0.477303092,2.58891245,0.392765508,2.259832163,0.74686803,2.79547001,0.949433525,3.865932668,0.750930385,2.378639888,0.4897089,2.199017636,17,-0.025370184,-0.347848355,0.621085849,0.802857263,13.64857348,0.59078194,0.800679776,0.510619306,-0.841047315,-3.683597959,0.212718232,0.187971744,0.174869048,0.275313903,23,5.989499392,1.270806433,-0.333650421,8,0.397745525,0.316572969,0.795918367,0.730631183,0.1592816,0.239865399,0.251697401
REGUA2,REGUA,55759.76697,4.74632095,1.818473638,3.350666406,0.884581943,1.151483614,2.348988185,0.825536498,0.378337652,113.7944347,0.309238479,45.26132889,2.027535556,1.686111111,27.82894497,0.821605539,2.102323691,0.571358588,1.879396448,0.423445167,1.605083975,0.715641167,2.251158555,0.602885899,1.973724546,0.833557927,2.12942847,11,0.719284012,0.797042119,0.556140056,0.846616176,9.312777933,0.712766589,0.834133346,0.581724774,-0.362686824,5.437426348,0.221866987,0.281959955,0.216049768,0.167591237,17,5.407346948,3.936963315,0.679552607,6,0.419352598,0.331340324,0.790123457,0.750923698,0.291560247,0.213150436,0.172062347
REGUA3,REGUA,73538.95743,4.866517469,2.059234819,5.717977661,0.741766352,1.556444896,5.460067474,0.73964608,0.383029061,96.78345517,0.368279622,46.15196278,2.280763148,1.449222222,32.99615523,0.90675118,2.861859283,0.478367162,2.010881748,1.097944546,3.153231638,0.824154786,3.18867329,0.350473352,1.729941152,0.568053782,2.850372227,14,0.19773,-0.066071445,0.510289243,0.811875334,11.36625468,0.678434579,0.825088269,0.532655497,-1.689667986,-0.470907039,0.300889562,0.321647248,0.182512863,0.398508575,17,5.68410966,0.818695605,0.873422401,8,0.534888717,0.462249508,0.864197531,0.786166088,0.294467352,0.265170891,0.371196497
REGUA4,REGUA,59126.07569,4.771779055,2.087081669,5.654046299,0.819231556,1.452074939,5.357939894,0.737408059,0.469558444,109.1359433,0.38169379,47.04579667,2.181149259,1.271,38.63106431,0.715276916,2.861859283,0.601818321,3.267812918,0.886395929,2.542238814,0.724122373,3.18867329,0.663471776,2.437166588,0.621044643,1.937362373,12,-0.045408001,0.422247189,-0.31324618,0.831470127,9.977641528,0.629925125,0.827162036,0.500392982,-0.726084653,-2.978092389,0.289476959,0.279346897,0.258539497,0.330544482,16,5.465966401,-1.049115495,-1.08407283,7,0.519285886,0.435943707,0.839506173,0.764622862,0.264393408,0.358670561,0.319316079
REGUA5,REGUA,47772.06856,4.679174047,1.551451387,2.119125485,0.800808691,1.006337793,1.138127278,0.784272556,0.419874881,113.8504317,0.35317048,46.01364,1.993267692,1.408307692,33.01325026,0.704185153,2.087395981,0.363515907,1.704618883,0.44482312,1.497538636,0.516902476,2.251158555,0.696353732,2.102189652,0.358338909,1.475290313,9,-0.536042568,0.099115209,-0.733697418,0.817983082,7.361847737,0.777620695,0.785472308,0.484450095,-0.358320214,6.016390752,0.197087642,0.255613071,0.143449095,0.192200761,16,5.25273549,1.376801904,-0.497481396,6,0.363663908,0.288348897,0.792899408,0.720711804,0.285878481,0.130799487,0.113692523
REGUA6,REGUA,52904.24679,4.723490536,2.233203691,5.872134372,0.794374439,1.577065015,4.496742201,0.809136789,0.450070158,112.2071022,0.331457722,45.33976769,2.60386,1.439230769,32.24649284,1.211143234,3.171325563,0.471814911,1.630446033,0.833309321,2.10853146,0.812743023,2.705213889,0.96920955,3.25904296,0.457822592,2.488508565,12,0.62984312,0.594068421,0.426170444,0.835824585,10.02989502,0.678723948,0.774785169,0.557551155,-0.486509992,0.417658259,0.301108121,0.424459667,0.173273265,0.305591431,19,5.354777976,1.592641722,-0.032652366,7,0.571276472,0.459725445,0.804733728,0.754923535,0.426915539,0.191879967,0.281924864
REGUA7,REGUA,59254.69243,4.772722748,1.719949598,4.363291042,0.610678408,0.902235511,2.730356465,0.579882114,0.491388598,108.6480187,0.327616674,46.00511158,2.380301053,1.461473684,31.81206774,0.57009891,3.156397854,0.217292403,0.865579417,0.591377784,1.940281505,0.711413996,2.705213889,1.061349805,3.25904296,0.355062815,0.990949719,7,1.099151485,0.754541777,1.426643999,0.855997205,5.991980435,0.758286378,0.794393086,0.767538198,-0.764143038,-0.492875961,0.186984426,0.249699512,0.083974183,0.227279584,21,5.468139335,1.343381382,-0.787564732,5,0.380358767,0.276049853,0.725761773,0.710902337,0.257831646,0.177783709,0.211280934
REGUA8,REGUA,45311.39374,4.656207421,1.287514515,1.004972121,0.900114854,0.379260235,0.09711807,0.864424496,0.449668611,107.9161865,0.289286197,45.43834286,2.4071,1.541285714,29.51080342,0.344738266,0.957759755,0.100667046,0.331959846,0.111313114,0.513456958,0.958214448,2.686255088,0.744811609,1.919635731,0.152925742,0.631869625,7,1.546322602,0.965091406,1.665511511,0.868634155,6.080439087,0.448375995,0.813737549,0.789532131,-0.82122992,-4.158498036,0.058157117,0.103219453,0.031373901,0.039877997,16,5.19985288,2.79640317,0.084748858,3,0.206360312,0.092651569,0.448979592,0.420952394,0.08749499,0.144983082,0.057648285
