"plot","richness","MPD_func","Rao_func","Simpson"
"REGUA_PV1",6,0.498972399841724,0.406570103574738,0.814814814814815
"REGUA_PV2",8,0.520720351485627,0.44116585334199,0.847222222222222
"REGUA_PV3",6,0.340514406995484,0.269048420342111,0.790123456790123
"REGUA_PV4",8,0.503796769605404,0.405398963041848,0.8046875
"REGUA_PV5",5,0.374089800030881,0.286412503148643,0.765625
"REGUA1",8,0.397745525483724,0.316572969262556,0.795918367346939
"REGUA2",6,0.419352597960617,0.331340324314561,0.790123456790123
"REGUA3",8,0.534888716736341,0.462249508290665,0.864197530864197
"REGUA4",7,0.519285886121622,0.435943706867535,0.839506172839506
"REGUA5",6,0.363663908029661,0.288348897490974,0.792899408284024
"REGUA6",7,0.571276472375385,0.459725445225162,0.804733727810651
"REGUA7",5,0.380358767025603,0.276049853076753,0.725761772853185
"REGUA8",3,0.206360312243145,0.0926515687622282,0.448979591836735
